STATION  ,STATION_NAME  ,ELEVATION  ,LATITUDE  ,LONGITUDE  ,DATE  ,PRCP  ,SNWD  ,SNOW  ,TMAX  ,TMIN  ,WT09  ,WT14  ,WT07  ,WT01  ,WT15  ,WT17  ,WT06  ,WT05  ,WT02  ,WT11  ,WT22  ,WT04  ,WT13  ,WT16  ,WT08  ,WT18  ,WT03  ,WT10
GHCND:USW00013994  ,ST LOUIS LAMBERT INTERNATIONAL AIRPORT MO US  ,161.8  ,38.7525  ,-90.37361  ,20080101  ,0  ,0  ,0  ,-17  ,-106  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,1  ,-9999  ,-9999
GHCND:USW00013994  ,ST LOUIS LAMBERT INTERNATIONAL AIRPORT MO US  ,161.8  ,38.7525  ,-90.37361  ,20080102  ,0  ,0  ,0  ,-50  ,-133  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,1  ,-9999  ,-9999
GHCND:USW00013994  ,ST LOUIS LAMBERT INTERNATIONAL AIRPORT MO US  ,161.8  ,38.7525  ,-90.37361  ,20080103  ,0  ,0  ,0  ,11  ,-117  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999
GHCND:USW00013994  ,ST LOUIS LAMBERT INTERNATIONAL AIRPORT MO US  ,161.8  ,38.7525  ,-90.37361  ,20080104  ,0  ,0  ,0  ,72  ,-22  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999
GHCND:USW00013994  ,ST LOUIS LAMBERT INTERNATIONAL AIRPORT MO US  ,161.8  ,38.7525  ,-90.37361  ,20080105  ,0  ,0  ,0  ,144  ,61  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,1  ,-9999  ,-9999  ,-9999  ,-9999
GHCND:USW00013994  ,ST LOUIS LAMBERT INTERNATIONAL AIRPORT MO US  ,161.8  ,38.7525  ,-90.37361  ,20080106  ,0  ,0  ,0  ,228  ,133  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999
GHCND:USW00013994  ,ST LOUIS LAMBERT INTERNATIONAL AIRPORT MO US  ,161.8  ,38.7525  ,-90.37361  ,20080107  ,0  ,0  ,0  ,228  ,117  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,1  ,-9999  ,-9999  ,1  ,-9999
GHCND:USW00013994  ,ST LOUIS LAMBERT INTERNATIONAL AIRPORT MO US  ,161.8  ,38.7525  ,-90.37361  ,20080108  ,396  ,0  ,0  ,189  ,28  ,-9999  ,-9999  ,-9999  ,1  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,1  ,1  ,-9999  ,1  ,-9999
GHCND:USW00013994  ,ST LOUIS LAMBERT INTERNATIONAL AIRPORT MO US  ,161.8  ,38.7525  ,-90.37361  ,20080109  ,0  ,0  ,0  ,72  ,0  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999
GHCND:USW00013994  ,ST LOUIS LAMBERT INTERNATIONAL AIRPORT MO US  ,161.8  ,38.7525  ,-90.37361  ,20080110  ,28  ,0  ,0  ,78  ,6  ,-9999  ,1  ,-9999  ,1  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,1  ,1  ,1  ,-9999  ,-9999
GHCND:USW00013994  ,ST LOUIS LAMBERT INTERNATIONAL AIRPORT MO US  ,161.8  ,38.7525  ,-90.37361  ,20080111  ,0  ,0  ,0  ,67  ,-17  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,1  ,-9999  ,-9999  ,-9999
GHCND:USW00013994  ,ST LOUIS LAMBERT INTERNATIONAL AIRPORT MO US  ,161.8  ,38.7525  ,-90.37361  ,20080112  ,0  ,0  ,0  ,122  ,-17  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,1  ,-9999  ,-9999  ,-9999
